snapshot_date,ticker,category,expiration,option_type,contract_symbol,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_vol,in_the_money,underlying_price
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00110000,110.0,100.6,98.3,104.4,8.110001,8.768516,8.0,1,3.3515641210937495,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00120000,120.0,88.41,85.95,94.4,0.0,0.0,17.0,17,4.3515670605468735,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00140000,140.0,68.75,65.9,74.3,0.0,0.0,2.0,0,3.355958641357421,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00145000,145.0,65.63,60.9,69.4,1.5799942,2.4668136,8.0,3,3.160646629638672,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00150000,150.0,59.56,55.9,64.4,0.0,0.0,15.0,15,2.9433620166015624,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00155000,155.0,54.77,50.9,59.4,3.1399994,6.081734,4.0,2,2.7314484838867186,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00160000,160.0,49.4,45.6,54.4,0.0,0.0,1.0,1,2.5239294714355465,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00165000,165.0,37.43,40.95,49.4,0.0,0.0,174.0,12,2.3203166992187496,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00170000,170.0,38.15,35.6,44.45,0.0,0.0,4.0,27,2.1298874877929688,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00172500,172.5,37.77,33.0,42.05,-2.040001,-5.124343,1.0,1,2.0498095629882815,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00175000,175.0,31.83,30.95,39.35,0.0,0.0,10.0,24,1.9121098144531252,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00177500,177.5,29.6,29.15,37.1,0.0,0.0,2.0,11,1.8603522607421876,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00180000,180.0,33.5,27.9,33.8,6.790001,25.421196,45.0,40,0.7773459765625,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00182500,182.5,27.02,23.55,32.1,-0.09000015,-0.33198136,2.0,10,1.6618669250488285,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00185000,185.0,24.02,22.1,29.5,4.0699997,20.401,20.0,45,0.6210975390625001,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00187500,187.5,21.15,18.6,27.1,3.709999,21.27293,1.0,62,1.4633815893554685,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00190000,190.0,21.0,19.05,22.95,5.0,31.25,453.0,1948,0.6210975390625001,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00192500,192.5,17.33,14.55,22.1,4.83,38.64,12.0,69,1.2626989990234374,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00195000,195.0,15.4,14.15,18.4,5.2,50.98039,683.0,182,0.57812921875,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00197500,197.5,13.53,11.7,15.45,5.5099993,68.70323,10845.0,134,0.8164080859374999,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00200000,200.0,11.2,10.0,11.1,5.35,91.452995,4397.0,1243,0.3920959228515625,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00202500,202.5,8.59,7.85,8.65,4.54,112.098755,898.0,565,0.3332586206054688,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00205000,205.0,6.4,5.65,6.35,3.65,132.72728,3778.0,10253,0.29492892578124996,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00207500,207.5,4.0,3.65,4.15,2.35,142.42424,16777.0,5262,0.2514723291015625,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00210000,210.0,2.3,2.26,2.51,1.3299999,137.11339,55611.0,9708,0.24439232177734377,1,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00212500,212.5,1.21,1.19,1.21,0.66,120.00001,48399.0,6697,0.22461712890624996,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00215000,215.0,0.61,0.56,0.6,0.3,96.7742,36509.0,5354,0.23438265625,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00217500,217.5,0.29,0.26,0.29,0.109999985,61.1111,15384.0,3247,0.24658956542968752,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00220000,220.0,0.14,0.12,0.15,0.020000003,16.66667,18106.0,6163,0.26367923828125,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00222500,222.5,0.08,0.07,0.08,-0.010000005,-11.111116,4160.0,2761,0.28125718749999995,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00225000,225.0,0.05,0.04,0.05,-0.009999998,-16.666664,5276.0,4095,0.304694453125,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00227500,227.5,0.03,0.02,0.03,-0.020000001,-40.000004,1895.0,3728,0.3242255078124999,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00230000,230.0,0.02,0.01,0.02,-0.01,-33.333336,1533.0,2402,0.3437565625,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00232500,232.5,0.01,0.01,0.02,0.0,0.0,509.0,314,0.38281867187499996,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00235000,235.0,0.01,0.0,0.02,-0.01,-50.0,222.0,1370,0.41797457031249996,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00237500,237.5,0.01,0.0,0.01,-0.01,-50.0,1202.0,552,0.42188078125,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00240000,240.0,0.01,0.0,0.01,0.0,0.0,56.0,482,0.45313046875,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00245000,245.0,0.01,0.0,0.01,0.0,0.0,105.0,729,0.51562984375,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00250000,250.0,0.01,0.0,0.01,0.0,0.0,84.0,2593,0.5468795312500001,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00255000,255.0,0.01,0.0,0.31,0.0,0.0,11.0,42,0.88476677734375,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00260000,260.0,0.01,0.0,0.01,0.0,0.0,4.0,138,0.6562534375000001,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00265000,265.0,0.01,0.0,0.31,0.0,0.0,12.0,12,1.0312548437500002,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00270000,270.0,0.02,0.0,0.01,0.0,0.0,17.0,1277,0.7500025,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00275000,275.0,0.01,0.0,0.31,0.0,0.0,,6,1.169926025390625,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00280000,280.0,0.01,0.0,0.01,0.0,0.0,,2,0.87500125,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00285000,285.0,0.01,0.0,0.01,0.0,0.0,19.0,48,0.9062509375,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00290000,290.0,0.01,0.0,0.01,0.0,0.0,19.0,128,0.9687503125,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00300000,300.0,0.02,0.0,0.01,-0.01,-33.333336,3.0,14,1.0625046875000002,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00310000,310.0,0.01,0.0,0.01,0.0,0.0,8.0,9,1.125004375,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00320000,320.0,0.02,0.0,0.31,0.0,0.0,,1,1.712892060546875,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00370000,370.0,0.01,0.0,0.31,-0.02,-66.66667,1.0,10,2.2070357324218746,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,call,NVDA260622C00420000,420.0,0.01,0.0,0.21,0.0,0.0,1.0,2,2.5117224707031247,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,put,NVDA260622P00110000,110.0,0.01,0.0,0.01,0.0,0.0,78.0,86,1.9375003125,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,put,NVDA260622P00115000,115.0,0.05,0.0,0.01,0.04,400.0,1.0,190,1.8125009374999999,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,put,NVDA260622P00120000,120.0,0.02,0.0,0.01,0.0,0.0,1.0,48,1.6875015625,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,put,NVDA260622P00125000,125.0,0.01,0.0,0.01,0.0,0.0,47.0,47,1.5625021874999998,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,put,NVDA260622P00130000,130.0,0.05,0.0,0.01,0.0,0.0,,4,1.4375028125,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,put,NVDA260622P00135000,135.0,0.01,0.0,0.01,0.0,0.0,1.0,3,1.3437532812499997,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,put,NVDA260622P00140000,140.0,0.01,0.0,0.01,0.0,0.0,20.0,323,1.2500037499999999,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,put,NVDA260622P00145000,145.0,0.01,0.0,0.02,0.0,0.0,1379.0,62,1.21875390625,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,put,NVDA260622P00150000,150.0,0.01,0.0,0.02,0.0,0.0,4235.0,101,1.109379453125,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,put,NVDA260622P00155000,155.0,0.01,0.0,1.88,-0.03,-75.0,680.0,1373,1.8955083349609376,0,210.69000244140625
2026-06-19,NVDA,stock,2026-06-22,put,NVDA260622P00160000,160.0,0.01,0.01,0.02,-0.04,-79.99999,217.0,713,0.945313046875,0,210.69000244140625
